#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-12T12:56:36 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-12T12:56:36	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=V%2f50%2fcatalog&-out.max=unlimited&-out=HR%2cName%2cHD%2cVmag%2cB-V&-out.add=_RAJ2000%2c_DEJ2000&-oc.form=dec	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#INFO	ivoid=ivo://cds.vizier/v/50	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/v/50	    IVOID of underlying data collection
#INFO	creator=Hoffleit D.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/V/50	    Dataset landing page
#INFO	publication_date=1997-12-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	HD	(I6)	[1/225300]? Henry Draper Catalog Number	[ucd=meta.id]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	B-V	(F5.2)	? B-V color in the UBV system	[ucd=phot.color;em.opt.B;em.opt.V]
_RAJ2000	_DEJ2000	HR	Name	HD	Vmag	B-V
006.065000	+52.020000	  91	          	  1976	 5.57	-0.12
          	          	  92	 NOVA 1572	      	     	
006.197917	+61.831111	  93	 12    Cas	  2011	 5.40	 0.00
006.123750	 -2.219167	  94	          	  2023	 6.07	 1.22
          	          	  95	 47    Tuc	      	     	
006.276667	+53.046944	  96	          	  2054	 5.74	-0.06
006.350833	 +1.939722	  97	 44    Psc	  2114	 5.77	 0.86
006.437917	-77.254167	  98	   Bet Hyi	  2151	 2.80	 0.62
006.570833	-42.306111	  99	   Alp Phe	  2261	 2.39	 1.09
006.550833	-43.680000	 100	   Kap Phe	  2262	 3.94	 0.17
006.655833	 -0.049722	 101	 10    Cet	  2273	 6.19	 0.90
006.811250	-25.547222	 102	          	  2363	 5.98	 1.03
007.012083	+17.893056	 103	 47    Psc	  2411	 5.06	 1.65
007.057083	+44.394444	 104	          	  2421	 5.17	 0.03
006.982083	-33.007222	 105	   Eta Scl	  2429	 4.81	 1.64
007.052917	+16.445000	 106	 48    Psc	  2436	 6.06	 1.58
007.083750	+10.189722	 107	          	  2454	 6.04	 0.43
007.087917	-20.335000	 108	          	  2475	 6.43	 0.59
007.110000	-39.915000	 109	          	  2490	 5.43	 1.56
007.235833	+36.900000	 110	          	  2507	 6.26	 0.92
007.179583	-50.532778	 111	          	  2529	 6.26	 1.09
007.729167	+77.019444	 112	          	  2589	 6.21	 0.84
007.582917	+59.977222	 113	          	  2626	 5.94	 0.01
007.530417	+29.751667	 114	 28    And	  2628	 5.23	 0.24
007.466250	-14.864167	 115	          	  2630	 6.14	 0.37
007.453750	-32.116667	 116	          	  2632	 6.57	 1.34
007.510000	 -3.957222	 117	 12    Cet	  2637	 5.72	 1.56
007.594583	-23.787778	 118	          	  2696	 5.19	 0.12
007.615833	-40.939444	 119	          	  2724	 6.19	 0.33
007.608750	-48.215000	 120	          	  2726	 5.69	 0.35
007.855417	+66.519444	 121	 13    Cas	  2729	 6.18	-0.10
007.856667	+33.581667	 122	          	  2767	 5.87	 1.14
007.943333	+54.522222	 123	 14Lam Cas	  2772	 4.73	-0.10
007.921667	+52.839444	 124	          	  2774	 5.60	 1.15
007.854167	-48.803611	 125	   Lam1Phe	  2834	 4.77	 0.02
007.886250	-62.958056	 126	   Bet1Tuc	  2884	 4.37	-0.07
007.890000	-62.965833	 127	   Bet2Tuc	  2885	 4.54	 0.15
008.111667	+43.494722	 128	          	  2888	 6.70	-0.01
008.330417	+70.981667	 129	          	  2904	 6.42	-0.01
008.250000	+62.931667	 130	 15Kap Cas	  2905	 4.16	 0.14
008.147917	+20.294444	 131	 52    Psc	  2910	 5.38	 1.08
008.099167	 +6.955556	 132	 51    Psc	  2913	 5.67	 0.00
008.143750	+27.580556	 133	          	  2924	 6.67	
008.204583	+28.280278	 134	          	  2942	 6.30	 1.00
008.293333	+54.895000	 135	          	  2952	 5.93	 1.04
008.182500	-63.031111	 136	   Bet3Tuc	  3003	 5.09	 0.04
008.603750	+66.750278	 137	 16    Cas	  3038	 6.48	-0.08
008.421250	-29.558333	 138	          	  3059	 5.55	 1.27
008.347083	-71.266111	 139	   The Tuc	  3112	 6.13	 0.23
008.615833	-52.373056	 140	          	  3158	 5.57	 0.47
008.730417	+13.371111	 141	          	  3166	 6.40	
008.812083	 -3.592778	 142	 13    Cet	  3196	 5.20	 0.56
008.886667	 -0.505556	 143	 14    Cet	  3229	 5.93	 0.44
009.034583	+54.168611	 144	          	  3240	 5.08	-0.11
008.977917	+13.206667	 145	          	  3268	 6.41	 0.52
009.113750	+60.326111	 146	          	  3283	 5.79	 0.29
008.921250	-48.000833	 147	   Lam2Phe	  3302	 5.51	 0.44
008.889167	-54.821944	 148	          	  3303	 6.06	 1.01
009.083333	+27.254722	 149	          	  3322	 6.50	-0.09
009.012500	-14.973611	 150	          	  3325	 6.45	 1.06
009.028750	-22.842500	 151	          	  3326	 6.06	 0.29
009.194167	+44.488611	 152	          	  3346	 5.13	 1.60
009.242917	+53.896944	 153	 17Zet Cas	  3360	 3.66	-0.20
009.220417	+33.719444	 154	 29Pi  And	  3369	 4.36	-0.14
009.197083	+15.231667	 155	 53    Psc	  3379	 5.89	-0.15
009.280000	+24.014167	 156	          	  3411	 6.47	
009.337917	+35.399444	 157	          	  3421	 5.48	 0.88
009.947083	+82.493889	 158	          	  3440	 6.40	 0.55
009.336250	-24.767222	 159	          	  3443	 5.57	 0.72
009.155833	-65.124722	 160	          	  3444	 6.42	 1.26
009.377083	 +3.135278	 161	          	  3457	 6.39	 1.33
009.325417	-54.394167	 162	          	  3488	 6.41	 1.00
009.638750	+29.311667	 163	 30Eps And	  3546	 4.37	 0.87
009.791250	+49.354444	 164	          	  3574	 5.43	 1.64
009.832083	+30.860833	 165	 31Del And	  3627	 3.27	 1.28
009.840833	+21.250556	 166	 54    Psc	  3651	 5.87	 0.85
009.981667	+21.438333	 167	 55    Psc	  3690	 5.36	 1.16
010.127083	+56.537222	 168	 18Alp Cas	  3712	 2.23	 1.17
009.670000	-73.137222	 169	          	  3719	 6.85	 0.11
009.991250	-33.961667	 170	          	  3735	 6.69	 0.51
009.966667	-44.796667	 171	          	  3750	 6.01	 1.14
010.119167	-16.516944	 172	          	  3794	 6.49	 0.92
010.137083	-23.804444	 173	          	  3795	 6.14	 0.70
010.176667	 -4.351944	 174	          	  3807	 5.91	 1.10
010.280000	+39.458611	 175	 32    And	  3817	 5.33	 0.89
010.110000	-59.454444	 176	          	  3823	 5.89	 0.55
010.514167	+66.147500	 177	          	  3856	 5.83	 1.04
010.400000	+24.629167	 178	          	  3883	 6.04	 0.26
010.516250	+50.512500	 179	 19Xi  Cas	  3901	 4.80	-0.11
010.331667	-46.085000	 180	   Mu  Phe	  3919	 4.59	 0.97
010.629583	+58.753333	 181	          	  3924	 6.17	-0.01
          	          	 182	 M 31  And	      	     	
010.443333	-56.501667	 183	   Xi  Phe	  3980	 5.70	 0.20
010.867083	+47.024722	 184	 20Pi  Cas	  4058	 4.94	 0.18
010.678750	-38.463333	 185	   Lam1Scl	  4065	 6.06	-0.03
010.674167	-60.262500	 186	          	  4088	 5.98	 1.32
010.618333	-65.468056	 187	   Rho Tuc	  4089	 5.39	 0.50
010.897500	-17.986667	 188	 16Bet Cet	  4128	 2.04	 1.02
011.110000	+47.864167	 189	          	  4142	 5.67	-0.12
010.959167	-12.011667	 190	          	  4145	 6.02	 1.10
010.838333	-57.463056	 191	   Eta Phe	  4150	 4.36	 0.00
011.412500	+74.988056	 192	 21    Cas	  4161	 5.66	 0.05
011.181250	+48.284444	 193	 22Omi Cas	  4180	 4.54	-0.07
011.047500	-10.609444	 194	 17Phi1Cet	  4188	 4.76	 1.01
011.050417	-38.421667	 195	   Lam2Scl	  4211	 5.90	 1.16
011.321667	+55.221667	 196	          	  4222	 5.42	 0.04
011.185000	-22.006111	 197	          	  4247	 5.24	 0.33
011.237917	-42.676667	 198	          	  4293	 5.94	 0.28
011.134583	-62.497778	 199	          	  4294	 6.07	 0.44
011.662500	+69.325000	 200	          	  4295	 6.33	
011.350417	 -4.629167	 201	          	  4301	 6.15	 1.62
011.250000	-53.715000	 202	          	  4304	 6.15	 0.53
011.369583	-12.880833	 203	 18    Cet	  4307	 6.15	 0.61
011.562917	+55.305278	 204	          	  4321	 6.52	
011.545417	+44.861389	 205	          	  4335	 6.05	-0.07
011.423750	-16.424167	 206	          	  4338	 6.47	 0.31
011.676667	+59.574444	 207	          	  4362	 6.39	 1.09
011.942083	+74.847500	 208	 23    Cas	  4382	 5.41	-0.08
011.440000	-47.551667	 209	          	  4391	 5.80	 0.64
011.549167	-22.521944	 210	          	  4398	 5.50	 0.98
011.637500	+15.475556	 211	 57    Psc	  4408	 5.38	 1.65
012.037917	+72.675000	 212	          	  4440	 5.87	 1.01
011.756250	+11.973889	 213	 58    Psc	  4482	 5.50	 0.97
011.806667	+19.578889	 214	 59    Psc	  4490	 6.13	 0.27
011.834583	+24.267222	 215	 34Zet And	  4502	 4.06	 1.12
011.848333	 +6.740833	 216	 60    Psc	  4526	 5.99	 0.94
011.978333	+20.925278	 217	 61    Psc	  4568	 6.54	 0.50
011.930417	-18.061389	 218	          	  4585	 5.70	 1.30
012.275000	+57.815833	 219	 24Eta Cas	  4614	 3.44	 0.57
012.004583	-21.722500	 220	          	  4622	 5.57	-0.06
012.072500	 +7.300000	 221	 62    Psc	  4627	 5.93	 1.10
012.095833	 +5.280556	 222	          	  4628	 5.75	 0.88
012.208750	+50.968333	 223	 25Nu  Cas	  4636	 4.89	-0.11
012.170833	 +7.585000	 224	 63Del Psc	  4656	 4.43	 1.50
012.244583	+16.940556	 225	 64    Psc	  4676	 5.07	 0.51
012.453333	+41.078889	 226	 35Nu  And	  4727	 4.53	-0.15
012.356667	-13.561389	 227	          	  4730	 5.59	 1.30
012.307917	-24.136389	 228	          	  4732	 5.90	 0.95
012.236250	-46.697778	 229	          	  4737	 6.27	 0.90
012.470000	+27.710833	 230	 65    Psc	  4757	 7.00	 0.36
012.471667	+27.710278	 231	 65    Psc	  4758	 7.10	
012.389167	-23.361667	 232	          	  4772	 6.28	 0.13
012.681667	+64.247500	 233	          	  4775	 5.39	 0.49
012.576250	+45.002222	 234	          	  4778	 6.15	 0.01
012.531667	-10.644444	 235	 19Phi2Cet	  4813	 5.19	 0.50
012.147500	-74.923333	 236	   Lam Hyi	  4815	 5.07	 1.37
012.818333	+61.805833	 237	          	  4817	 6.07	 1.88
012.739167	+51.508056	 238	          	  4818	 6.39	 0.28
012.515417	-43.394722	 239	          	  4849	 6.48	 0.29
013.721250	+83.707222	 240	          	  4853	 5.62	 0.09
012.890417	+51.571111	 241	          	  4881	 6.21	
012.671667	-50.986944	 242	   Rho Phe	  4919	 5.22	 0.36
012.826250	 +3.385000	 243	          	  4928	 6.37	 1.07
013.267083	+61.124167	 244	          	  5015	 4.82	 0.53
012.967083	-43.709167	 245	          	  5042	 6.90	 0.35
013.222500	+38.548611	 246	          	  5066	 6.69	 0.02
013.169167	-24.005833	 247	          	  5098	 5.46	 1.24
013.252083	 -1.144167	 248	 20    Cet	  5112	 4.77	 1.57
013.367500	+37.418056	 249	          	  5118	 6.06	 1.14
013.448333	+52.689167	 250	          	  5128	 6.27	 0.19
013.301667	-24.776944	 251	          	  5156	 6.46	 0.44
013.101250	-69.504444	 252	   Lam1Tuc	  5190	 6.22	 0.56
013.750417	+58.972778	 253	 26Ups1Cas	  5234	 4.83	 1.21
013.646667	+19.188333	 254	 66    Psc	  5267	 5.74	-0.01
013.573333	 -8.740833	 255	 21    Cet	  5268	 6.16	 0.92
013.771667	+48.678611	 256	          	  5273	 6.27	 1.68
013.407917	-62.871389	 257	          	  5276	 5.70	 1.56
013.741667	+23.628333	 258	 36    And	  5286	 5.47	 1.00
013.811250	+24.556944	 259	          	  5316	 6.20	 1.62
014.053750	+57.996667	 260	          	  5343	 6.21	 1.37
014.231667	+68.776111	 261	          	  5357	 6.37	 0.38
013.993750	+27.209444	 262	 67    Psc	  5382	 6.09	 0.14
013.926667	 -7.347222	 263	          	  5384	 5.85	 1.52
014.177083	+60.716667	 264	 27Gam Cas	  5394	 2.47	-0.15
014.165833	+59.181111	 265	 28Ups2Cas	  5395	 4.63	 0.96
014.196250	+60.362778	 266	          	  5408	 5.55	-0.07
014.006250	-11.266667	 267	 22Phi3Cet	  5437	 5.31	 1.52
013.981250	-27.775556	 268	          	  5445	 6.10	 1.67
014.188333	+38.499444	 269	 37Mu  And	  5448	 3.87	 0.13
013.751250	-69.526944	 270	   Lam2Tuc	  5457	 5.45	 1.09
014.301667	+23.417500	 271	 38Eta And	  5516	 4.42	 0.94
014.415417	+45.839722	 272	          	  5526	 6.12	 1.02
014.629583	+66.352222	 273	          	  5550	 5.97	-0.02
014.459167	+28.992222	 274	 68    Psc	  5575	 5.42	 1.08
014.559167	+33.950833	 275	          	  5608	 5.98	 1.00
014.477083	+13.695833	 276	          	  5612	 6.32	 0.89
014.578750	+21.404444	 277	          	  5641	 6.37	 0.09
015.129167	+70.983056	 278	          	  5715	 6.39	 0.13
014.682917	-11.380000	 279	 23Phi4Cet	  5722	 5.61	 0.97
014.651667	-29.357500	 280	   Alp Scl	  5737	 4.31	-0.16
014.593333	-60.696389	 281	          	  5771	 6.23	 0.10
015.014167	+44.711111	 282	          	  5788	 6.84	
015.015000	+44.713333	 283	          	  5789	 6.04	-0.01
014.957083	 +6.483056	 284	          	  5820	 6.11	 1.67
017.186250	+86.256944	 285	          	  5848	 4.25	 1.21
023.460000	+89.015556	 286	          	  5914	 6.46	 0.11
015.576667	+51.035000	 287	          	  6028	 6.47	
015.326250	-38.916667	 288	   Xi  Scl	  6055	 5.59	 1.18
015.756250	+47.376111	 289	          	  6114	 6.45	 0.25
015.726250	+41.345000	 290	 39    And	  6116	 5.98	 0.16
015.704583	+31.804444	 291	 69Sig Psc	  6118	 5.50	-0.05
015.904167	+61.075000	 292	          	  6130	 5.92	 0.49
015.610000	-31.551944	 293	   Sig Scl	  6178	 5.50	 0.08
015.735833	 +7.890000	 294	 71Eps Psc	  6186	 4.28	 0.96
015.507500	-57.002500	 295	   Ome Phe	  6192	 6.11	 0.94
015.760833	 -4.836667	 296	 25    Cet	  6203	 5.43	 1.11
016.081667	+61.580278	 297	          	  6210	 5.84	 0.54
016.010000	+52.502222	 298	          	  6211	 5.99	 1.47
015.705000	-46.397500	 299	          	  6245	 5.36	 0.90
015.823333	-29.525833	 300	          	  6269	 6.29	 0.93
015.954167	 +1.366667	 301	 26    Cet	  6288	 6.04	 0.27
016.195000	+51.010000	 302	          	  6300	 6.54	-0.08
016.115000	+29.658611	 303	          	  6301	 6.19	 0.43
015.678750	-65.456111	 304	          	  6311	 6.21	 1.64
016.151667	+39.991111	 305	          	  6314	 6.72	 0.31
019.056250	+87.145278	 306	          	  6319	 6.25	 1.12
016.219167	 +5.656389	 307	 73    Psc	  6386	 6.00	 1.51
016.272500	+14.946111	 308	 72    Psc	  6397	 5.68	 0.41
016.595000	+62.761667	 309	          	  6416	 6.54	 0.19
016.420417	+21.473333	 310	 74Psi1Psc	  6456	 5.34	-0.03
016.423750	+21.465278	 311	 74Psi1Psc	  6457	 5.56	-0.07
017.301250	+80.011667	 312	          	  6473	 6.29	
016.455000	 +4.908333	 313	 77    Psc	  6479	 6.35	 0.38
016.464167	 +4.909444	 314	 77    Psc	  6480	 7.25	 0.49
016.403333	 -9.979167	 315	 27    Cet	  6482	 6.12	 1.01
016.750833	+56.935000	 316	          	  6497	 6.43	 1.18
016.521250	 -9.839444	 317	 28    Cet	  6530	 5.58	 0.01
016.789583	+53.498333	 318	          	  6540	 6.38	
016.640000	+12.956111	 319	 75    Psc	  6557	 6.12	 0.96
016.532083	-23.992500	 320	          	  6559	 6.14	 1.09
017.068333	+54.920278	 321	 30Mu  Cas	  6582	 5.17	 0.69
016.520833	-46.718611	 322	   Bet Phe	  6595	 3.31	 0.89
016.610417	-35.660833	 323	          	  6619	 6.61	 0.14
017.003750	+43.941944	 324	 41    And	  6658	 5.03	 0.11
016.804583	-23.996389	 325	          	  6668	 6.37	 0.23
017.138750	+58.263611	 326	          	  6676	 5.79	-0.01
017.005417	+32.012222	 327	 78    Psc	  6680	 6.25	 0.40
016.988333	+20.739167	 328	 79Psi2Psc	  6695	 5.55	 0.13
016.942500	 -9.785556	 329	 30    Cet	  6706	 5.82	 0.43
017.092500	 +5.649722	 330	 80    Psc	  6763	 5.52	 0.34
016.949583	-41.486944	 331	   Ups Phe	  6767	 5.21	 0.16
016.827917	-61.775278	 332	   Iot Tuc	  6793	 5.37	 0.88
018.069583	+79.673889	 333	          	  6798	 5.64	 0.01
017.147500	-10.182222	 334	 31Eta Cet	  6805	 3.45	 1.16
017.375833	+47.241944	 335	 42Phi And	  6811	 4.25	-0.07
017.663750	+68.778611	 336	 31    Cas	  6829	 5.29	-0.02
017.432917	+35.620556	 337	 43Bet And	  6860	 2.06	 1.58
017.096250	-55.245833	 338	   Zet Phe	  6882	 3.92	-0.08
017.455000	+19.658611	 339	 81Psi3Psc	  6903	 5.55	 0.69
017.578333	+42.081389	 340	 44    And	  6920	 5.65	 0.60
017.580833	+25.457778	 341	          	  6953	 5.80	 1.47
017.856667	+64.202778	 342	          	  6960	 5.55	-0.07
017.775833	+55.149722	 343	 33The Cas	  6961	 4.33	 0.17
017.547917	+15.674167	 344	          	  6966	 6.06	 1.49
017.922500	+65.018889	 345	 32    Cas	  6972	 5.57	-0.09
017.550000	 -8.906111	 346	 32    Cet	  6976	 6.40	 1.04
017.640000	 +2.445556	 347	 33    Cet	  7014	 5.95	 1.51
017.792917	+37.724167	 348	 45    And	  7019	 5.81	-0.10
017.778333	+31.424722	 349	 82    Psc	  7034	 5.16	 0.23
017.530833	-57.694444	 350	          	  7082	 6.41	 0.89
017.863333	+21.034722	 351	 84Chi Psc	  7087	 4.66	 1.03
017.915000	+30.089722	 352	 83Tau Psc	  7106	 4.51	 1.09
017.931250	 -2.251111	 353	 34    Cet	  7147	 5.94	 1.40
018.291250	+61.705833	 354	          	  7157	 6.41	 0.01
018.141667	+45.337778	 355	          	  7158	 6.11	 1.64
018.247917	+30.064167	 356	          	  7229	 6.19	 1.00
019.127917	+79.910000	 357	          	  7238	 6.26	 0.42
018.097500	-30.802222	 358	          	  7259	 6.52	 0.48
018.189167	-37.856389	 359	          	  7312	 5.92	 0.28
018.437083	+24.583611	 360	 85Phi Psc	  7318	 4.65	 1.04
